name,artist,cover,source
Tere Liye,Lata Mangeshkar,https://pagalworld.com.pk/storage/thumbimages/album/veer-zaara-bollywood-2004.jpg,https://github.com/shaan04/Musify/raw/refs/heads/main/songs/Tere%20Liye%20Veer%20Zaara%20320%20Kbps.mp3
Tum Hi Ho,Arijit Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUkD3ef330gH_f8Pj3tLEWKegRkOOzUoE7BQ&s,https://github.com/shaan04/Musify/raw/refs/heads/main/songs/01%20-%20A2%20-%20Tum%20Hi%20Ho%20%5BDJMaza%5D.mp3
Pirit Koro Na,Jeet Gannguli,https://c.saavncdn.com/662/Josh-Original-Motion-Picture-Soundtrack-Bengali-2010-20240414032604-500x500.jpg,https://github.com/shaan04/Musify/raw/refs/heads/main/songs/(webmusic.in)_Pirit-Koro-Na.mp3
Bhula Dena,Mustafa Zahid,https://c.saavncdn.com/430/Aashiqui-2-Hindi-2013-500x500.jpg,https://github.com/shaan04/Musify/raw/refs/heads/main/songs/%5BSongs.PK%5D%20Aashiqui%202%20-%2007%20-%20Bhula%20Dena.mp3
Aasan Nahin Yahan,Arijit Singh,https://c.saavncdn.com/430/Aashiqui-2-Hindi-2013-500x500.jpg,https://github.com/shaan04/Musify/raw/refs/heads/main/songs/%5BSongs.PK%5D%20Aashiqui%202%20-%2008%20-%20Aasan%20Nahin%20Yahan.mp3
MekanÄ±n Sahibi,Norm Ender,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/1.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/1.mp3
Everybody Knows,Leonard Cohen,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/2.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/2.mp3
Extreme Ways,Moby,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/3.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/3.mp3
Butterflies,Sia,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/4.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/4.mp3
The Final Victory,Haggard,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/5.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/5.mp3
Genius ft. Sia, Diplo,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/6.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/6.mp3
The Comeback Kid,Lindi Ortega,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/7.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/7.mp3
Overdose,Grandson,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/8.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/8.mp3
Rag n Bone Man,Human,https://raw.githubusercontent.com/muhammederdem/mini-player/master/img/9.jpg,https://raw.githubusercontent.com/muhammederdem/mini-player/master/mp3/9.mp3
